split,accuracy,precision,recall,f1,mcc,roc_auc,auprc,fpr,fnr,recall@1%fpr,recall@5%fpr
random,0.8483833569496328,0.6050644158151932,0.8254545454545454,0.6982824916688029,0.6131303675063242,0.9201373625011773,0.7578751039464331,0.14542777686896777,0.17454545454545456,0.26484848484848483,0.5860606060606061
test=xstest,0.5866666666666667,0.5217391304347826,0.84,0.6436781609195402,0.24671758189758447,0.73613,0.7164795863311194,0.616,0.16,0.09,0.305
test=jailbreakbench,0.635,0.6588235294117647,0.56,0.6054054054054054,0.27308973820905375,0.6838,0.7239794960925221,0.29,0.44,0.16,0.27
test=deepset,0.6087613293051359,0.5142857142857142,0.2737642585551331,0.3573200992555831,0.12383001270420335,0.49386298445734106,0.43845122355347377,0.17042606516290726,0.7262357414448669,0.015209125475285171,0.10646387832699619
test=toxicchat,0.6264887063655031,0.036241610738255034,0.7377049180327869,0.06908904810644831,0.10115579332066144,0.7553179628012768,0.13783588470489969,0.3756408914931464,0.26229508196721313,0.16939890710382513,0.47540983606557374
test=beavertails,0.5784389489953632,0.6524050632911392,0.5756086665177574,0.6116055535777857,0.15606073745558063,0.6129667307447544,0.6884979325327452,0.4177061149984789,0.42439133348224256,0.04914004914004914,0.13424167969622516
