,accuracy,precision,recall,f1,mcc,roc_auc,auprc,recall@1%fpr
accuracy,1.0,0.086,0.029,0.086,0.486,0.6,0.486,0.771
precision,0.086,1.0,-0.143,0.486,0.714,-0.143,0.714,0.029
recall,0.029,-0.143,1.0,0.6,0.314,0.771,0.314,0.543
f1,0.086,0.486,0.6,1.0,0.829,0.371,0.829,0.257
mcc,0.486,0.714,0.314,0.829,1.0,0.371,1.0,0.429
roc_auc,0.6,-0.143,0.771,0.371,0.371,1.0,0.371,0.943
auprc,0.486,0.714,0.314,0.829,1.0,0.371,1.0,0.429
recall@1%fpr,0.771,0.029,0.543,0.257,0.429,0.943,0.429,1.0
